transaction_id,amount,transaction_hour,location_risk_score,device_type,merchant_category,failed_login_attempts,velocity_transactions,is_fraud
1,15895,21,0.94,Desktop,Groceries,1,17,1
2,960,1,0.76,Mobile,Entertainment,0,19,1
3,76920,22,0.7,Tablet,Clothing,4,12,1
4,54986,21,0.24,Mobile,Groceries,2,17,1
5,6365,4,0.12,Tablet,Clothing,3,6,0
6,82486,3,0.87,Mobile,Groceries,0,4,1
7,37294,3,0.01,Mobile,Groceries,1,2,0
8,87598,5,0.39,Mobile,Electronics,3,15,1
9,44231,19,0.28,Mobile,Groceries,4,16,1
10,60363,20,0.57,Desktop,Travel,3,12,1
11,16123,12,0.25,Mobile,Travel,5,7,1
12,41190,21,0.31,Desktop,Travel,0,13,0
13,67321,4,0.85,Mobile,Clothing,2,1,1
14,64920,22,0.6,Desktop,Electronics,4,19,1
15,869,22,0.15,Mobile,Clothing,4,13,1
16,59835,6,0.73,Desktop,Entertainment,4,1,1
17,63055,19,0.21,Mobile,Travel,3,2,1
18,65025,0,0.43,Tablet,Electronics,2,1,1
19,68069,13,0.65,Tablet,Travel,0,12,1
20,5411,23,0.27,Desktop,Electronics,0,10,0
21,83204,3,0.38,Mobile,Clothing,3,2,1
22,53807,16,0.73,Mobile,Clothing,5,1,1
23,85405,20,0.94,Mobile,Travel,0,5,1
24,28793,13,0.53,Tablet,Groceries,0,2,0
25,72032,15,0.01,Tablet,Electronics,2,4,1
26,93116,13,0.34,Mobile,Entertainment,3,14,1
27,25758,15,0.4,Mobile,Groceries,3,9,0
28,84578,23,0.34,Desktop,Clothing,4,6,1
29,18531,19,0.44,Mobile,Electronics,0,12,0
30,2847,7,0.63,Mobile,Groceries,1,12,0
31,59250,23,0.12,Tablet,Entertainment,5,9,1
32,65825,2,0.27,Desktop,Groceries,2,15,1
33,84754,18,0.51,Tablet,Entertainment,2,10,1
34,35873,0,0.32,Mobile,Clothing,5,2,1
35,67535,1,0.99,Mobile,Electronics,5,18,1
36,56986,14,0.43,Desktop,Clothing,1,7,1
37,66903,21,0.87,Mobile,Electronics,4,9,1
38,31651,9,0.9,Mobile,Groceries,1,18,1
39,11494,17,0.84,Desktop,Clothing,5,3,1
40,69192,21,0.05,Tablet,Electronics,5,13,1
41,3990,13,0.95,Mobile,Entertainment,1,10,1
42,41706,16,0.13,Mobile,Electronics,4,17,1
43,96376,12,0.03,Mobile,Clothing,1,3,1
44,80138,0,0.41,Mobile,Clothing,4,9,1
45,87413,4,0.19,Mobile,Groceries,5,17,1
46,10727,12,0.18,Mobile,Entertainment,5,16,1
47,8892,13,0.29,Mobile,Electronics,5,6,1
48,74069,23,0.25,Desktop,Clothing,0,18,1
49,43101,2,0.68,Mobile,Electronics,4,6,1
50,76652,14,0.19,Mobile,Travel,5,6,1
51,23997,18,0.54,Desktop,Entertainment,3,17,0
52,68248,16,0.99,Mobile,Entertainment,3,10,1
53,23583,2,0.43,Tablet,Travel,1,2,0
54,48655,15,0.64,Desktop,Entertainment,3,1,0
55,17259,13,0.97,Tablet,Travel,4,11,1
56,80177,11,0.14,Mobile,Electronics,0,6,1
57,36020,11,0.42,Mobile,Travel,4,1,1
58,92167,10,0.85,Mobile,Groceries,2,16,1
59,67221,16,0.93,Tablet,Travel,1,9,1
60,69579,7,0.6,Mobile,Electronics,5,12,1
61,89575,16,0.14,Mobile,Entertainment,0,9,1
62,19557,20,0.9,Desktop,Groceries,1,13,1
63,66657,22,0.17,Mobile,Travel,2,7,1
64,77289,19,0.35,Desktop,Electronics,3,1,1
65,79053,10,0.38,Tablet,Groceries,2,3,1
66,53095,1,0.45,Tablet,Groceries,3,3,1
67,40857,9,0.79,Mobile,Groceries,1,19,0
68,9792,9,0.8,Mobile,Travel,1,4,0
69,45858,10,0.72,Mobile,Electronics,5,12,1
70,72509,5,0.02,Mobile,Electronics,5,4,1
71,71311,3,0.56,Desktop,Electronics,1,10,1
72,65797,23,0.75,Desktop,Clothing,5,4,1
73,37165,11,0.44,Desktop,Entertainment,4,11,1
74,92193,10,0.94,Mobile,Electronics,0,4,1
75,99399,22,0.82,Desktop,Clothing,4,11,1
76,32706,22,0.64,Mobile,Clothing,2,17,0
77,11634,12,0.06,Mobile,Groceries,0,13,0
78,94763,4,0.65,Desktop,Entertainment,1,17,1
79,40497,5,0.91,Mobile,Groceries,1,13,1
80,91487,0,0.38,Desktop,Entertainment,1,17,1
81,1116,5,0.84,Mobile,Groceries,3,19,1
82,89889,17,0.31,Mobile,Travel,2,15,1
83,55691,21,0.57,Mobile,Entertainment,4,4,1
84,89912,8,0.65,Desktop,Clothing,5,18,1
85,23347,23,0.68,Mobile,Clothing,2,11,0
86,24400,14,0.88,Desktop,Entertainment,3,9,1
87,74165,7,0.23,Desktop,Groceries,3,16,1
88,82898,18,0.26,Mobile,Travel,2,3,1
89,9368,23,0.7,Desktop,Travel,3,18,0
90,86907,15,0.18,Desktop,Electronics,5,17,1
